

Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
02:04.46	247.875000	250.000000	15.639893	32.607353	20.000000	0.000000	188.360001	32.607353	32.452442	27.496389	0.525000	
02:05.46	248.500000	250.000000	16.586111	32.658966	20.000000	0.000000	188.400009	32.658966	32.452442	27.496389	0.525000	
02:06.46	249.187500	250.000000	17.791037	32.607353	20.000000	0.000000	188.360001	32.607353	32.452442	27.496389	0.525000	
02:07.46	250.562485	250.000000	20.632259	32.607353	20.000000	0.000000	188.400009	32.607353	32.452442	27.496389	0.525000	
02:08.46	250.937485	250.000000	21.467293	32.658966	20.000000	0.000000	188.400009	32.658966	32.452442	27.496389	0.525000	
02:09.46	251.687500	250.000000	23.138920	32.658966	20.000000	0.000000	188.400009	32.658966	32.452442	27.548004	0.520000	
02:10.46	252.500000	250.000000	25.036989	32.607353	20.000000	0.000000	188.400009	32.607353	32.452442	27.548004	0.525000	
02:11.46	253.562515	250.000000	27.807657	32.658966	20.000000	0.000000	188.400009	32.658966	32.452442	27.548004	0.525000	
02:12.46	254.187500	250.000000	29.592125	32.658966	20.000000	0.000000	188.400009	32.658966	32.452442	27.548004	0.525000	
02:13.46	254.312485	250.000000	30.443819	32.607353	20.000000	0.000000	188.400009	32.607353	32.452442	27.548004	0.520000	
02:14.46	254.812515	250.000000	32.466602	32.607353	20.000000	0.000000	188.400009	32.607353	32.400829	27.548004	0.525000	
02:15.46	255.000000	250.000000	33.553638	32.607353	20.000000	0.000000	188.400009	32.607353	32.452442	27.548004	0.525000	
02:16.46	255.562515	250.000000	35.428131	32.607353	20.000000	0.000000	188.440002	32.607353	32.452442	27.599640	0.525000	
02:17.46	255.562515	250.000000	36.208763	32.607353	20.000000	0.000000	188.440002	32.607353	32.452442	27.599640	0.525000	
02:18.46	255.750000	250.000000	37.825424	32.607353	20.000000	0.000000	188.440002	32.607353	32.452442	27.599640	0.525000	
