Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
05:59.11	253.874985	250.000000	57.003143	27.083385	20.000000	0.000000	521.559998	27.083385	26.412241	26.257376	0.470000
05:59.96	254.000015	250.000000	57.792191	27.083385	20.000000	0.000000	521.559998	27.083385	26.412241	26.257376	0.470000
06:00.96	254.062500	250.000000	58.490005	27.083385	20.000000	0.000000	521.559998	27.083385	26.463879	26.257376	0.465000
06:01.96	253.750000	250.000000	58.751503	27.083385	20.000000	0.000000	521.559998	27.083385	26.463879	26.257376	0.470000
06:02.96	254.187500	250.000000	60.179943	27.083385	20.000000	0.000000	521.559998	27.083385	26.463879	26.257376	0.470000
06:03.96	254.062500	250.000000	60.525181	27.083385	20.000000	0.000000	539.880005	27.083385	26.463879	26.257376	0.470000
06:04.96	254.000015	250.000000	61.289959	27.083385	20.000000	0.000000	539.880005	27.083385	26.463879	26.257376	0.470000
06:05.96	254.187500	250.000000	62.233368	27.083385	20.000000	0.000000	539.880005	27.083385	26.463879	26.257376	0.465000
06:06.96	254.312485	250.000000	63.092041	27.083385	20.000000	0.000000	539.880005	27.083385	26.463879	26.257376	0.465000
06:08.21	254.062500	250.000000	63.494999	27.083385	20.000000	0.000000	539.880005	27.083385	26.463879	26.257376	0.465000
06:08.96	254.187500	250.000000	64.310982	27.083385	20.000000	0.000000	539.880005	27.083385	26.463879	26.257376	0.465000
06:09.96	254.062500	250.000000	64.645782	27.083385	20.000000	0.000000	539.919983	27.083385	26.463879	26.257376	0.465000
06:10.96	253.687500	250.000000	64.708160	27.083385	20.000000	0.000000	539.919983	27.083385	26.463879	26.257376	0.465000
06:11.96	253.437485	250.000000	64.741058	27.083385	20.000000	0.000000	539.919983	27.083385	26.463879	26.257376	0.470000
06:12.96	253.062485	250.000000	64.438957	27.083385	20.000000	0.000000	539.919983	27.083385	26.463879	26.257376	0.465000
06:13.96	252.750015	250.000000	64.471024	27.083385	20.000000	0.000000	539.959961	27.083385	26.515512	26.257376	0.470000
06:14.96	252.312515	250.000000	63.962952	27.135019	20.000000	0.000000	539.959961	27.135019	26.515512	26.257376	0.470000
06:15.96	251.875015	250.000000	63.427490	27.135019	20.000000	0.000000	539.959961	27.135019	26.515512	26.257376	0.470000
06:16.96	251.500015	250.000000	63.045914	27.135019	20.000000	0.000000	540.000000	27.135019	26.515512	26.257376	0.470000
06:17.96	251.187500	250.000000	62.610039	27.135019	20.000000	0.000000	540.000000	27.135019	26.463879	26.257376	0.470000
06:18.96	250.875000	250.000000	62.154457	27.135019	20.000000	0.000000	540.000000	27.135019	26.515512	26.308990	0.470000
06:19.96	250.437500	250.000000	61.422565	27.135019	20.000000	0.000000	540.040039	27.135019	26.515512	26.308990	0.470000
06:20.96	250.124985	250.000000	60.839527	27.135019	20.000000	0.000000	540.040039	27.135019	26.515512	26.308990	0.470000
06:21.96	249.750000	250.000000	60.085709	27.135019	20.000000	0.000000	540.040039	27.135019	26.515512	26.308990	0.470000
06:22.96	249.437500	250.000000	59.369179	27.135019	20.000000	0.000000	540.080017	27.135019	26.515512	26.308990	0.470000
06:23.96	249.125000	250.000000	58.659431	27.135019	20.000000	0.000000	540.080017	27.135019	26.515512	26.308990	0.470000
06:24.96	249.187500	250.000000	58.661316	27.135019	20.000000	0.000000	540.080017	27.135019	26.515512	26.308990	0.470000
06:25.96	248.812500	250.000000	57.797188	27.135019	20.000000	0.000000	540.119995	27.135019	26.515512	26.308990	0.470000
06:26.96	248.562500	250.000000	57.026844	27.135019	20.000000	0.000000	540.119995	27.135019	26.515512	26.308990	0.470000
06:27.96	248.187500	250.000000	56.054802	27.083385	20.000000	0.000000	540.119995	27.083385	26.515512	26.308990	0.470000
06:28.96	248.500000	250.000000	56.404232	27.083385	20.000000	0.000000	540.159973	27.083385	26.515512	26.257376	0.465000
06:29.96	248.250000	250.000000	55.577202	27.135019	20.000000	0.000000	540.159973	27.135019	26.515512	26.257376	0.470000
06:30.96	248.062500	250.000000	54.938190	27.083385	20.000000	0.000000	540.159973	27.083385	26.515512	26.257376	0.470000
06:31.96	248.062500	250.000000	54.662098	27.083385	20.000000	0.000000	540.200012	27.083385	26.515512	26.257376	0.470000
06:32.96	248.187500	250.000000	54.503365	27.083385	20.000000	0.000000	540.200012	27.083385	26.515512	26.257376	0.470000
06:33.96	248.062500	250.000000	53.973694	27.083385	20.000000	0.000000	540.200012	27.083385	26.515512	26.257376	0.465000
06:34.96	248.062500	250.000000	53.695076	27.083385	20.000000	0.000000	540.239990	27.083385	26.515512	26.257376	0.465000
06:35.96	248.375000	250.000000	53.920231	27.083385	20.000000	0.000000	540.239990	27.083385	26.515512	26.257376	0.470000
06:36.96	248.500000	250.000000	53.955627	27.083385	20.000000	0.000000	540.280029	27.083385	26.515512	26.257376	0.470000
06:37.96	248.812500	250.000000	54.371941	27.083385	20.000000	0.000000	540.280029	27.083385	26.515512	26.257376	0.470000
06:38.96	249.312500	250.000000	55.159531	27.083385	20.000000	0.000000	540.280029	27.083385	26.515512	26.257376	0.470000
06:39.96	249.437500	250.000000	55.321754	27.083385	20.000000	0.000000	540.320007	27.083385	26.567129	26.257376	0.470000
06:40.96	249.750000	250.000000	55.871292	27.083385	20.000000	0.000000	540.320007	27.083385	26.515512	26.154125	0.470000
06:41.96	250.625015	250.000000	57.624214	27.083385	20.000000	0.000000	540.320007	27.083385	26.515512	26.154125	0.470000
06:42.96	251.062515	250.000000	58.617275	27.083385	20.000000	0.000000	540.320007	27.083385	26.515512	26.154125	0.470000
06:43.96	251.687500	250.000000	60.027588	27.083385	20.000000	0.000000	540.359985	27.083385	26.515512	26.154125	0.470000
06:44.96	252.500000	250.000000	62.076050	27.083385	20.000000	0.000000	540.359985	27.083385	26.515512	26.154125	0.470000
06:45.96	252.812500	250.000000	63.062717	27.083385	20.000000	0.000000	540.359985	27.083385	26.567129	26.154125	0.465000
06:46.96	253.062485	250.000000	64.004982	27.083385	20.000000	0.000000	540.400024	27.083385	26.515512	26.154125	0.470000
06:47.96	253.125015	250.000000	64.795540	27.083385	20.000000	0.000000	540.400024	27.083385	26.567129	26.154125	0.470000
06:48.96	253.125015	250.000000	65.258209	27.083385	20.000000	0.000000	540.400024	27.083385	26.567129	26.154125	0.465000
06:49.96	253.062485	250.000000	65.581596	27.083385	20.000000	0.000000	540.400024	27.083385	26.515512	26.154125	0.470000
06:50.96	252.812500	250.000000	65.705551	27.083385	20.000000	0.000000	540.440002	27.083385	26.567129	26.257376	0.465000
06:51.96	252.500000	250.000000	65.467453	27.083385	20.000000	0.000000	540.440002	27.083385	26.567129	26.257376	0.465000
06:52.96	252.437500	250.000000	65.715172	27.083385	20.000000	0.000000	540.440002	27.083385	26.567129	26.257376	0.470000
06:53.96	252.000000	250.000000	65.312752	27.083385	20.000000	0.000000	540.440002	27.083385	26.567129	26.257376	0.470000
06:54.96	251.812485	250.000000	65.228546	27.083385	20.000000	0.000000	540.479980	27.083385	26.567129	26.257376	0.470000
06:55.96	251.562500	250.000000	64.975304	27.083385	20.000000	0.000000	540.479980	27.083385	26.567129	26.257376	0.470000
06:56.96	250.937485	250.000000	64.017876	27.083385	20.000000	0.000000	540.479980	27.083385	26.567129	26.257376	0.470000
06:57.96	250.750000	250.000000	63.767891	27.083385	20.000000	0.000000	540.479980	27.083385	26.567129	26.257376	0.470000
06:58.96	250.437500	250.000000	63.233231	27.083385	20.000000	0.000000	540.519958	27.083385	26.567129	26.257376	0.470000
06:59.96	249.937500	250.000000	62.280067	27.083385	20.000000	0.000000	540.519958	27.083385	26.567129	26.257376	0.470000
07:00.96	249.500000	250.000000	61.382175	27.083385	20.000000	0.000000	540.519958	27.083385	26.567129	26.257376	0.470000
07:01.97	249.125000	250.000000	60.511642	27.083385	20.000000	0.000000	540.559998	27.083385	26.567129	26.257376	0.470000
07:02.97	248.875000	250.000000	59.892609	27.031748	20.000000	0.000000	540.559998	27.031748	26.567129	26.257376	0.470000
07:03.97	248.500000	250.000000	58.968674	27.083385	20.000000	0.000000	540.559998	27.083385	26.567129	26.257376	0.470000
07:04.97	248.250000	250.000000	58.137890	27.083385	20.000000	0.000000	540.559998	27.083385	26.567129	26.308990	0.470000
07:05.97	248.187500	250.000000	57.743847	27.083385	20.000000	0.000000	540.559998	27.083385	26.567129	26.308990	0.470000
07:06.96	247.750000	250.000000	56.595364	27.083385	20.000000	0.000000	540.600037	27.083385	26.567129	26.308990	0.465000
07:07.96	247.437500	250.000000	55.483734	27.083385	20.000000	0.000000	540.600037	27.083385	26.567129	26.308990	0.470000
07:08.96	247.312500	250.000000	54.867207	27.083385	20.000000	0.000000	540.600037	27.083385	26.567129	26.308990	0.470000
07:09.96	247.312500	250.000000	54.308426	27.083385	20.000000	0.000000	540.600037	27.083385	26.567129	26.308990	0.470000
07:10.96	247.312500	250.000000	53.931274	27.083385	20.000000	0.000000	540.640015	27.083385	26.567129	26.308990	0.470000
07:11.97	247.125000	250.000000	53.190281	27.083385	20.000000	0.000000	540.640015	27.083385	26.567129	26.308990	0.465000
07:12.96	247.312500	250.000000	53.154629	27.083385	20.000000	0.000000	540.640015	27.083385	26.567129	26.308990	0.465000
07:13.97	247.312500	250.000000	52.607346	27.031748	20.000000	0.000000	540.640015	27.031748	26.567129	26.308990	0.470000
07:14.96	247.625000	250.000000	52.870979	27.031748	20.000000	0.000000	540.640015	27.031748	26.567129	26.308990	0.470000
07:15.96	247.750000	250.000000	52.608116	27.083385	20.000000	0.000000	540.640015	27.083385	26.567129	26.308990	0.470000
07:16.97	248.187500	250.000000	53.169930	27.031748	20.000000	0.000000	540.679993	27.031748	26.567129	26.308990	0.470000
07:17.96	248.250000	250.000000	53.044136	27.083385	20.000000	0.000000	540.679993	27.083385	26.618744	26.308990	0.470000
07:18.97	248.562500	250.000000	53.314308	27.083385	20.000000	0.000000	540.679993	27.083385	26.618744	26.308990	0.470000
07:19.96	249.312500	250.000000	54.628677	27.083385	20.000000	0.000000	540.679993	27.083385	26.618744	26.308990	0.470000
07:20.97	250.124985	250.000000	56.176548	27.031748	20.000000	0.000000	540.679993	27.031748	26.567129	26.308990	0.470000
07:21.97	251.062515	250.000000	58.135792	27.083385	20.000000	0.000000	540.679993	27.083385	26.618744	26.360626	0.470000
07:22.97	251.500015	250.000000	59.175522	27.031748	20.000000	0.000000	540.719971	27.031748	26.618744	26.360626	0.470000
07:23.97	252.125000	250.000000	60.664268	27.083385	20.000000	0.000000	540.719971	27.083385	26.567129	26.360626	0.470000
