Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
02:37.72	258.437500	250.000000	36.535679	29.200043	20.000000	0.000000	141.759995	29.200043	28.374033	26.980133	0.490000	
02:38.72	258.875000	250.000000	38.581074	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:39.72	259.000000	250.000000	40.109894	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:40.72	259.000000	250.000000	42.019249	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:41.72	259.000000	250.000000	43.294468	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:42.72	259.062500	250.000000	45.293076	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:43.72	258.750000	250.000000	45.911152	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:44.72	258.687500	250.000000	47.101601	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:45.72	258.562500	250.000000	48.078228	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:46.72	258.250000	250.000000	49.280567	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:47.72	257.812500	250.000000	49.504211	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:48.73	257.437500	250.000000	50.405880	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:49.73	257.000000	250.000000	50.573372	28.632153	20.000000	0.000000	141.759995	28.632153	28.374033	26.980133	0.485000	
02:50.72	256.687500	250.000000	50.919006	29.096790	20.000000	0.000000	141.759995	29.096790	28.374033	26.980133	0.485000	
02:51.72	256.500000	250.000000	51.960373	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:52.72	256.187500	250.000000	52.197048	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.485000	
02:53.72	255.750000	250.000000	52.206768	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
02:54.72	255.312500	250.000000	52.527828	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.485000	
02:55.72	255.000000	250.000000	52.648079	29.200043	20.000000	0.000000	141.759995	29.200043	28.374033	26.980133	0.485000	
02:56.72	254.687485	250.000000	52.720581	29.200043	20.000000	0.000000	141.759995	29.200043	28.374033	26.980133	0.490000	
02:57.72	254.062500	250.000000	52.420269	29.200043	20.000000	0.000000	141.759995	29.200043	28.374033	26.980133	0.485000	
02:58.72	253.874985	250.000000	52.622021	29.200043	20.000000	0.000000	141.759995	29.200043	28.374033	26.980133	0.490000	
02:59.72	253.125015	250.000000	51.892651	29.200043	20.000000	0.000000	141.759995	29.200043	28.374033	26.980133	0.490000	
03:00.72	252.437500	250.000000	50.931995	29.200043	20.000000	0.000000	141.759995	29.200043	28.374033	26.980133	0.485000	
03:01.72	252.187485	250.000000	50.750496	29.251657	20.000000	0.000000	141.759995	29.251657	28.374033	26.980133	0.490000	
03:02.72	251.187500	250.000000	49.115208	29.251657	20.000000	0.000000	141.759995	29.251657	28.425650	26.980133	0.490000	
03:03.72	250.437500	250.000000	47.764397	29.200043	20.000000	0.000000	141.759995	29.200043	28.425650	26.980133	0.490000	
03:04.72	250.124985	250.000000	47.179298	29.200043	20.000000	0.000000	141.759995	29.200043	28.374033	27.083385	0.490000	
03:05.72	248.875000	250.000000	44.630005	29.200043	20.000000	0.000000	141.759995	29.200043	28.425650	27.083385	0.490000	
03:06.72	248.500000	250.000000	43.717377	29.148426	20.000000	0.000000	141.759995	29.148426	28.425650	27.083385	0.490000	
03:07.72	247.937500	250.000000	42.361328	29.200043	20.000000	0.000000	141.759995	29.200043	28.425650	27.083385	0.490000	
03:08.72	246.812500	250.000000	39.596947	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	27.083385	0.490000	
03:09.72	246.375000	250.000000	38.258446	29.200043	20.000000	0.000000	141.759995	29.200043	28.425650	27.083385	0.490000	
03:10.72	245.687500	250.000000	36.350338	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	27.083385	0.490000	
03:11.72	245.062500	250.000000	34.154293	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	27.083385	0.490000	
03:12.72	244.500000	250.000000	32.319042	29.148426	20.000000	0.000000	141.759995	29.148426	28.425650	27.083385	0.490000	
03:13.72	243.687500	250.000000	29.448593	29.096790	20.000000	0.000000	141.759995	29.096790	28.425650	27.083385	0.490000	
03:14.72	243.187500	250.000000	27.547688	29.096790	20.000000	0.000000	141.759995	29.096790	28.374033	27.083385	0.490000	
03:15.72	242.562500	250.000000	25.315281	29.096790	20.000000	0.000000	141.759995	29.096790	28.374033	27.083385	0.490000	
03:16.72	241.812500	250.000000	22.200279	29.096790	20.000000	0.000000	141.759995	29.096790	28.374033	27.135019	0.485000	
03:17.72	241.375000	250.000000	20.215778	29.096790	20.000000	0.000000	141.759995	29.096790	28.425650	27.135019	0.490000	
03:18.72	241.062500	250.000000	18.305649	29.096790	20.000000	0.000000	141.759995	29.096790	28.425650	27.135019	0.490000	
03:19.72	239.812500	250.000000	13.862011	29.096790	20.000000	0.000000	141.759995	29.096790	28.425650	27.135019	0.485000	
03:20.72	240.250000	250.000000	13.413429	29.148426	20.000000	0.000000	141.720001	29.148426	28.425650	27.135019	0.490000	
03:21.72	239.937500	250.000000	11.396465	29.148426	20.000000	0.000000	141.759995	29.148426	28.425650	27.135019	0.490000	
03:22.72	239.187500	250.000000	7.730902	29.148426	20.000000	0.000000	141.720001	29.148426	28.425650	27.135019	0.485000	
03:23.72	238.875000	250.000000	5.540827	29.148426	20.000000	0.000000	141.720001	29.148426	28.425650	27.135019	0.490000	
03:24.72	238.500000	250.000000	2.422091	29.148426	20.000000	0.000000	141.720001	29.148426	28.425650	27.135019	0.490000	
03:25.97	238.187500	250.000000	0.000000	29.096790	20.000000	0.000000	141.720001	29.096790	28.425650	27.135019	0.490000	
03:26.72	238.187500	250.000000	0.000000	29.096790	20.000000	0.000000	141.720001	29.096790	28.425650	27.135019	0.490000	
03:27.72	237.875000	250.000000	0.000000	29.096790	20.000000	0.000000	141.720001	29.096790	28.425650	27.135019	0.490000	
03:28.72	237.687500	250.000000	0.000000	29.096790	20.000000	0.000000	141.720001	29.096790	28.425650	27.135019	0.490000	
03:29.72	237.875000	250.000000	0.000000	29.045156	20.000000	0.000000	141.720001	29.045156	28.425650	27.135019	0.490000	
03:30.72	237.437500	250.000000	0.000000	29.045156	20.000000	0.000000	141.720001	29.045156	28.425650	27.135019	0.490000	
03:31.72	237.562500	250.000000	0.000000	29.045156	20.000000	0.000000	141.720001	29.045156	28.425650	27.135019	0.490000	
03:32.72	237.437500	250.000000	0.000000	29.045156	20.000000	0.000000	141.720001	29.045156	28.425650	27.135019	0.490000	
03:33.72	237.375000	250.000000	0.000000	29.045156	20.000000	0.000000	141.720001	29.045156	28.425650	27.135019	0.490000	
03:34.72	237.687500	250.000000	0.000000	29.045156	20.000000	0.000000	141.720001	29.045156	28.425650	27.135019	0.490000	
03:35.72	237.562500	250.000000	0.000000	29.045156	20.000000	0.000000	141.720001	29.045156	28.477283	27.135019	0.490000	
03:36.72	237.750000	250.000000	0.000000	29.045156	20.000000	0.000000	136.400009	29.045156	28.425650	27.186636	0.490000	
03:37.72	238.000000	250.000000	0.000000	29.045156	20.000000	0.000000	136.400009	29.045156	28.425650	27.186636	0.490000	
03:38.72	238.000000	250.000000	0.025703	29.045156	20.000000	0.000000	136.400009	29.045156	28.425650	27.186636	0.490000	
03:39.72	238.000000	250.000000	0.000000	29.045156	20.000000	0.000000	136.400009	29.045156	28.425650	27.186636	0.490000	
