Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
05:41.96	258.25	250	47.646252	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:42.96	258.375	250	49.115963	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:43.96	258.125	250	50.349766	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:44.96	258.125	250	51.582058	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:45.96	257.75	250	51.920216	27.031748	20	0	205.080002	27.031748	26.412241	26.257376	0.47
05:46.96	257.625	250	53.302353	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:47.96	257.1875	250	53.494251	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:48.96	256.875	250	53.897064	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:49.96	256.375	250	54.373043	27.031748	20	0	320.800018	27.031748	26.412241	26.257376	0.47
05:50.96	256.1875	250	54.885155	27.031748	20	0	399.640015	27.031748	26.412241	26.257376	0.47
05:51.96	255.874985	250	55.186218	27.031748	20	0	431.640015	27.031748	26.412241	26.257376	0.47
05:52.96	255.4375	250	55.520691	27.031748	20	0	493.480011	27.031748	26.412241	26.257376	0.47
05:53.96	254.9375	250	55.273472	27.083385	20	0	516.720032	27.083385	26.412241	26.257376	0.47
05:54.96	254.9375	250	55.968018	27.031748	20	0	521.559998	27.031748	26.412241	26.257376	0.47
05:55.96	254.312485	250	55.738678	27.083385	20	0	521.559998	27.083385	26.463879	26.257376	0.47
05:56.96	254.312485	250	56.392597	27.083385	20	0	521.559998	27.083385	26.463879	26.257376	0.47
05:57.96	254.0625	250	56.529381	27.083385	20	0	521.559998	27.083385	26.412241	26.257376	0.47
05:59.11	253.874985	250	57.003143	27.083385	20	0	521.559998	27.083385	26.412241	26.257376	0.47
05:59.96	254.000015	250	57.792191	27.083385	20	0	521.559998	27.083385	26.412241	26.257376	0.47
