[Connect DataFile][1.0]
Date:	25.9.2018
Time:	16:43:40
Unit:	°C
Resolution:	0,020
Time	TObj	TInt	TExt
00:00:10,940	20,9	26,8	-----	
00:00:10,960	21,3	26,8	-----	
00:00:10,980	21,3	26,8	-----	
00:00:11,000	21,4	26,8	-----	
00:00:11,020	21,6	26,8	-----	
00:00:11,040	21,7	26,8	-----	
00:00:11,060	21,7	26,8	-----	
00:00:11,080	21,7	26,8	-----	
00:00:11,100	21,7	26,8	-----	
00:00:11,120	21,8	26,8	-----	
00:00:11,140	21,8	26,8	-----	
00:00:11,160	21,8	26,8	-----	
00:00:11,180	22,0	26,8	-----	
00:00:11,200	22,0	26,8	-----	
00:00:11,220	22,0	26,8	-----	
00:00:11,240	22,1	26,8	-----	
00:00:11,260	22,2	26,8	-----	
00:00:11,280	22,2	26,8	-----	
00:00:11,300	22,3	26,8	-----	
00:00:11,320	22,3	26,8	-----	
00:00:11,340	22,3	26,8	-----	
00:00:11,360	22,4	26,8	-----	
00:00:11,380	22,5	26,8	-----	
00:00:11,400	22,6	26,8	-----	
00:00:11,420	22,7	26,8	-----	
00:00:11,440	22,7	26,8	-----	
00:00:11,460	22,7	26,8	-----	
00:00:11,480	22,8	26,8	-----	
00:00:11,500	22,8	26,8	-----	
00:00:11,520	22,9	26,8	-----	
00:00:11,540	23,2	26,8	-----	
00:00:11,560	23,2	26,8	-----	
00:00:11,580	23,2	26,8	-----	
00:00:11,600	23,2	26,8	-----	
00:00:11,620	23,3	26,8	-----	
00:00:11,640	23,3	26,8	-----	
00:00:11,660	23,4	26,8	-----	
00:00:11,680	23,5	26,8	-----	
00:00:11,700	23,5	26,8	-----	
00:00:11,720	23,5	26,8	-----	
00:00:11,740	23,6	26,8	-----	
00:00:11,760	23,7	26,8	-----	
00:00:11,780	23,7	26,8	-----	
00:00:11,800	23,7	26,8	-----	
00:00:11,820	23,7	26,8	-----	
00:00:11,840	23,8	26,8	-----	
00:00:11,860	23,8	26,8	-----	
00:00:11,880	23,9	26,8	-----	
00:00:11,900	24,0	26,8	-----	
00:00:11,920	24,0	26,8	-----	
00:00:11,940	24,0	26,8	-----	
00:00:11,960	24,0	26,8	-----	
00:00:11,980	24,1	26,8	-----	
00:00:12,000	24,2	26,8	-----	
00:00:12,020	24,3	26,8	-----	
00:00:12,040	24,3	26,8	-----	
00:00:12,060	24,3	26,8	-----	
00:00:12,080	24,4	26,8	-----	
00:00:12,100	24,5	26,8	-----	
00:00:12,120	24,5	26,8	-----	
00:00:12,140	24,6	26,8	-----	
00:00:12,160	24,7	26,8	-----	
00:00:12,180	24,7	26,8	-----	
00:00:12,200	24,7	26,8	-----	
00:00:12,220	24,8	26,8	-----	
00:00:12,240	24,8	26,8	-----	
00:00:12,260	24,9	26,8	-----	
00:00:12,280	24,9	26,8	-----	
00:00:12,300	24,9	26,8	-----	
00:00:12,320	24,9	26,8	-----	
00:00:12,340	24,9	26,8	-----	
00:00:12,360	25,0	26,8	-----	
00:00:12,380	25,1	26,8	-----	
00:00:12,400	25,2	26,8	-----	
00:00:12,420	25,3	26,8	-----	
00:00:12,440	25,4	26,8	-----	
00:00:12,460	25,5	26,8	-----	
00:00:12,480	25,5	26,8	-----	
00:00:12,500	25,5	26,8	-----	
00:00:12,520	25,5	26,8	-----	
00:00:12,540	25,5	26,8	-----	
00:00:12,560	25,5	26,8	-----	
00:00:12,580	25,6	26,8	-----	
00:00:12,600	25,7	26,8	-----	
00:00:12,620	25,8	26,8	-----	
00:00:12,640	25,8	26,8	-----	
00:00:12,660	25,9	26,8	-----	
00:00:12,680	26,0	26,8	-----	
00:00:12,700	26,0	26,8	-----	
00:00:12,720	26,0	26,8	-----	
00:00:12,740	26,0	26,8	-----	
00:00:12,760	26,1	26,8	-----	
00:00:12,780	26,2	26,8	-----	
00:00:12,800	26,2	26,8	-----	
00:00:12,820	26,2	26,8	-----	
00:00:12,840	26,3	26,8	-----	
00:00:12,860	26,3	26,8	-----	
00:00:12,880	26,4	26,8	-----	
00:00:12,900	26,5	26,8	-----	
00:00:12,920	26,5	26,8	-----	
00:00:12,940	26,6	26,8	-----	
00:00:12,960	26,7	26,8	-----	
00:00:12,980	26,8	26,8	-----	
00:00:13,000	26,8	26,8	-----	
00:00:13,020	26,9	26,8	-----	
00:00:13,040	26,9	26,8	-----	
00:00:13,060	26,9	26,8	-----	
00:00:13,080	27,0	26,8	-----	
00:00:13,100	27,0	26,8	-----	
00:00:13,120	27,1	26,8	-----	
00:00:13,140	27,1	26,8	-----	
00:00:13,160	27,1	26,8	-----	
00:00:13,180	27,2	26,8	-----	
00:00:13,200	27,3	26,8	-----	
00:00:13,220	27,3	26,8	-----	
00:00:13,240	27,3	26,8	-----	
00:00:13,260	27,3	26,8	-----	
00:00:13,280	27,3	26,8	-----	
00:00:13,300	27,3	26,8	-----	
00:00:13,320	27,4	26,8	-----	
00:00:13,340	27,4	26,8	-----	
00:00:13,360	27,5	26,8	-----	
00:00:13,380	27,5	26,8	-----	
00:00:13,400	27,6	26,8	-----	
00:00:13,420	27,6	26,8	-----	
00:00:13,440	27,7	26,8	-----	
00:00:13,460	27,7	26,8	-----	
00:00:13,480	27,7	26,8	-----	
00:00:13,500	27,8	26,8	-----	
00:00:13,520	27,8	26,8	-----	
00:00:13,540	27,8	26,8	-----	
00:00:13,560	27,9	26,8	-----	
00:00:13,580	28,0	26,8	-----	
00:00:13,600	28,0	26,8	-----	
00:00:13,620	28,1	26,8	-----	
00:00:13,640	28,2	26,8	-----	
00:00:13,660	28,2	26,8	-----	
00:00:13,680	28,2	26,8	-----	
00:00:13,700	28,3	26,8	-----	
